NetConn_2:
SingleSynapticConnection:0:17:0.23236084:2:38:0.70885825:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 8.054894, weight: 1.0]
SingleSynapticConnection:1:14:0.6133202:2:26:0.94716394:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 8.740377, weight: 1.0]
SingleSynapticConnection:3:17:0.61242217:0:38:0.30496046:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 7.1857786, weight: 1.0]
SingleSynapticConnection:4:13:0.6040161:0:41:0.18664658:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 9.531725, weight: 1.0]
SingleSynapticConnection:5:23:0.050038148:0:42:0.71503663:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 6.757063, weight: 1.0]
SingleSynapticConnection:9:11:0.67022324:2:29:0.93558127:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 9.136238, weight: 1.0]
SingleSynapticConnection:13:5:0.6339569:0:22:0.50558776:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 8.244566, weight: 1.0]
SingleSynapticConnection:15:5:0.22621116:3:37:0.49033165:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 6.0573063, weight: 1.0]
SingleSynapticConnection:19:3:0.35500908:3:19:0.45891383:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 9.33897, weight: 1.0]
SingleSynapticConnection:23:9:0.8535622:0:18:0.059829865:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 6.0532274, weight: 1.0]
SingleSynapticConnection:24:21:0.76058656:1:18:0.27941948:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 9.640811, weight: 1.0]
SingleSynapticConnection:26:11:0.061338805:2:36:0.14080566:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 8.279927, weight: 1.0]
SingleSynapticConnection:28:11:0.32092208:1:24:0.40583313:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 9.207054, weight: 1.0]
SingleSynapticConnection:32:13:0.11682358:3:40:0.75796187:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 8.29607, weight: 1.0]
SingleSynapticConnection:34:10:0.8425148:3:23:0.32874587:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 9.517028, weight: 1.0]
SingleSynapticConnection:36:20:0.5348053:3:27:0.8205823:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 5.5338206, weight: 1.0]
SingleSynapticConnection:37:4:0.48714447:3:18:0.43063515:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 6.655601, weight: 1.0]
SingleSynapticConnection:40:13:0.0047576902:1:26:0.11930201:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 8.513393, weight: 1.0]
SingleSynapticConnection:42:2:0.31357384:2:32:0.16450632:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 6.34241, weight: 1.0]
SingleSynapticConnection:43:25:0.027963256:1:34:0.15383168:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 7.7724133, weight: 1.0]
SingleSynapticConnection:48:6:0.8586151:2:32:0.03204383:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 5.4849834, weight: 1.0]
SingleSynapticConnection:49:3:0.643137:1:18:0.50884086:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 8.622112, weight: 1.0]
SingleSynapticConnection:54:2:0.42513657:2:29:0.54881114:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 6.3144636, weight: 1.0]
SingleSynapticConnection:56:15:0.2597534:1:29:0.3819775:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 6.1333237, weight: 1.0]
SingleSynapticConnection:59:13:0.23712082:2:28:0.12696663:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 6.4981685, weight: 1.0]
